,NrArticolo,sumCostoMPBudget,sumCostoMPConsuntivo,scostamento
0,ART0000762,15123.699999999999,3111.43,12012.269999999999
1,ART0000826,3913.21,651.27,3261.94
2,ART0000812,3900.33,1246.5,2653.83
3,ART0004146,1790.92,605.97,1184.95
4,ART0001913,1469.78,524.13,945.65
5,ART0000786,2603.5300000000007,1816.0099999999998,787.5200000000009
6,ART0004363,826.57,42.4,784.1700000000001
7,ART0001785,918.95,222.38,696.57
8,ART0000769,857.4200000000001,294.0,563.4200000000001
9,ART0000772,1315.25,771.1,544.15
10,ART0000780,816.87,322.29999999999995,494.57000000000005
11,ART0000749,883.3900000000001,389.62,493.7700000000001
12,ART0003609,890.0799999999999,401.61,488.4699999999999
13,ART0001897,673.03,230.29000000000002,442.73999999999995
14,ART0003610,776.07,368.74,407.33000000000004
15,ART0000788,920.7000000000002,552.62,368.08000000000015
16,ART0005028,497.26,142.82,354.44
17,ART0000625,464.07,120.85,343.22
18,ART0000804,3422.3899999999985,3084.82,337.56999999999834
19,ART0000645,724.4599999999999,420.06,304.3999999999999
20,ART0001942,435.12,135.74,299.38
21,ART0002370,288.8,64.73,224.07
22,ART0001017,455.24,237.39000000000001,217.85
23,ART0000841,2940.7,2723.7200000000003,216.97999999999956
24,ART0000756,5012.42,4810.659999999999,201.76000000000113
25,ART0000814,593.4100000000001,415.41,178.00000000000006
26,ART0000115,434.44,268.26,166.18
27,ART0000757,496.68,345.73999999999995,150.94000000000005
28,ART0000845,1370.6100000000001,1222.76,147.85000000000014
29,ART0002385,712.8799999999999,567.0799999999999,145.79999999999995
30,ART0002829,222.2,76.84,145.35999999999999
31,ART0001931,254.94,113.16,141.78
32,ART0004836,260.0,120.0,140.0
33,ART0000627,241.49,103.72,137.77
34,ART0001832,159.2,57.73,101.47
35,ART0003135,108.0,14.0,94.0
36,ART0000223,116.8,29.2,87.6
37,ART0001154,110.22999999999999,22.68,87.54999999999998
38,ART0002224,166.46,82.52,83.94000000000001
39,ART0002938,125.62,43.96,81.66
40,ART0004014,399.41,320.32,79.09000000000003
41,ART0004384,330.0,256.2,73.80000000000001
42,ART0002747,133.1,59.37,73.72999999999999
43,ART0001244,118.77,60.08,58.69
44,ART0003704,86.01,31.5,54.510000000000005
45,ART0004175,103.52000000000001,53.6,49.92000000000001
46,ART0000883,64.05,17.3,46.75
47,ART0003169,76.67,34.39,42.28
48,ART0004440,261.06,223.77,37.28999999999999
49,ART0000630,227.94,192.37,35.56999999999999
50,ART0002148,59.65,26.46,33.19
51,ART0002949,49.69,19.13,30.56
52,ART0002029,33.0,3.4,29.6
53,ART0004902,106.7,80.13,26.570000000000007
54,ART0001766,88.13000000000001,62.42,25.710000000000008
55,ART0002017,51.0,29.0,22.0
56,ART0001100,33.98,14.21,19.769999999999996
57,ART0004659,33.87,14.32,19.549999999999997
58,ART0001869,37.78,18.89,18.89
59,ART0001768,57.24,38.56,18.68
60,ART0005026,63.02,44.37,18.650000000000006
61,ART0000125,39.11,20.92,18.189999999999998
62,ART0002366,120.19999999999999,102.04,18.159999999999982
63,ART0000753,1699.99,1682.1100000000001,17.87999999999988
64,ART0001391,22.75,5.45,17.3
65,ART0002978,38.03,21.29,16.740000000000002
66,ART0004886,278.26,261.66,16.599999999999966
67,ART0001497,41.89,25.67,16.22
68,ART0001129,31.0,15.0,16.0
69,ART0001659,22.44,7.46,14.98
70,ART0005011,39.73,24.8,14.929999999999996
71,ART0001880,34.51,19.81,14.7
72,ART0002299,16.76,2.38,14.380000000000003
73,ART0003578,23.8,9.48,14.32
74,ART0001821,151.43,137.81,13.620000000000005
75,ART0003780,47.78,34.35,13.43
76,ART0002133,115.33,102.38,12.950000000000003
77,ART0001761,27.77,15.32,12.45
78,ART0001884,110.93,99.4,11.530000000000001
79,ART0001249,17.23,5.71,11.52
80,ART0001920,90.43,78.94999999999999,11.480000000000018
81,ART0003785,146.61,135.31,11.300000000000011
82,ART0001926,128.53,117.45,11.079999999999998
83,ART0002450,94.77,84.02,10.75
84,ART0003309,22.659999999999997,12.17,10.489999999999997
85,ART0002070,16.25,5.8,10.45
86,ART0002152,12.7,2.56,10.139999999999999
87,ART0001994,182.39999999999998,172.8,9.599999999999966
88,ART0000312,236.0,227.6,8.400000000000006
89,ART0004880,12.13,4.08,8.05
90,ART0004420,18.29,10.25,8.04
91,ART0002145,17.64,9.64,8.0
92,ART0002107,18.0,10.22,7.779999999999999
93,ART0000891,18.93,11.54,7.390000000000001
94,ART0001433,11.870000000000001,4.48,7.390000000000001
95,ART0004689,19.94,13.03,6.910000000000002
96,ART0000313,190.8,184.0,6.800000000000011
97,ART0002608,68.0,61.2,6.799999999999997
98,ART0001203,73.52000000000001,67.17,6.3500000000000085
99,ART0002102,16.72,10.4,6.3199999999999985
100,ART0000882,22.04,16.43,5.609999999999999
101,ART0002886,15.41,10.19,5.220000000000001
102,ART0000151,45.13,40.0,5.130000000000003
103,ART0001628,5.510000000000001,0.65,4.86
104,ART0001804,32.11,27.26,4.849999999999998
105,ART0002996,51.76,47.58,4.18
106,ART0000042,104.0,100.0,4.0
107,ART0000041,92.0,88.0,4.0
108,ART0000121,61.92,58.05,3.8700000000000045
109,ART0002274,99.55,95.87,3.6799999999999926
110,ART0001989,9.91,6.28,3.63
111,ART0001238,5.1,1.5,3.5999999999999996
112,ART0001741,39.35,35.77,3.5799999999999983
113,ART0001162,265.79999999999995,262.52,3.2799999999999727
114,ART0001208,8.5,5.25,3.25
115,ART0002452,61.5,58.43,3.0700000000000003
116,ART0001776,82.85,80.12,2.7299999999999898
117,ART0001422,18.96,16.43,2.530000000000001
118,ART0002026,8.74,6.22,2.5200000000000005
119,ART0003099,4.5,1.99,2.51
120,ART0003160,25.63,23.38,2.25
121,ART0001294,2.7699999999999996,0.69,2.0799999999999996
122,ART0002010,6.09,4.08,2.01
123,ART0004656,10.37,8.5,1.8699999999999992
124,ART0003277,9.82,8.12,1.700000000000001
125,ART0002214,6.14,4.85,1.29
126,ART0005030,292.15999999999997,291.31,0.8499999999999659
127,ART0004717,8.45,7.69,0.7599999999999989
128,ART0002424,1.57,0.94,0.6300000000000001
129,ART0002191,13.57,13.0,0.5700000000000003
130,ART0000152,15.149999999999999,14.6,0.5499999999999989
131,ART0002306,4.35,3.85,0.49999999999999956
132,ART0004725,2.38,1.9,0.48
133,ART0001492,0.81,0.39,0.42000000000000004
134,ART0000043,36.06,35.71,0.3500000000000014
135,ART0004403,72.26,72.03,0.23000000000000398
136,ART0002464,11.67,11.5,0.16999999999999993
137,ART0004898,3.13,2.97,0.1599999999999997
138,ART0001593,0.2,0.06,0.14
139,ART0001253,5.92,5.85,0.07000000000000028
140,ART0002249,6.97,6.91,0.05999999999999961
141,ART0001219,9.77,9.71,0.05999999999999872
142,ART0001267,2.53,2.49,0.03999999999999959
143,ART0003782,10.02,9.98,0.03999999999999915
144,ART0001190,4.66,4.63,0.03000000000000025
145,ART0001588,0.32,0.29,0.030000000000000027
146,ART0001670,1.28,1.27,0.010000000000000009
147,ART0001290,1.19,1.18,0.010000000000000009
148,ART0001277,1.19,1.18,0.010000000000000009
149,ART0001218,1.03,1.02,0.010000000000000009
150,ART0002836,348.33,348.33,0.0
151,ART0002997,190.0,190.0,0.0
152,ART0002718,50.0,50.0,0.0
153,ART0002019,49.0,49.0,0.0
154,ART0000157,45.0,45.0,0.0
155,ART0002719,43.0,43.0,0.0
156,ART0002018,42.0,42.0,0.0
157,ART0000638,30.0,30.0,0.0
158,ART0001515,25.0,25.0,0.0
159,ART0003310,14.2,14.2,0.0
160,ART0002284,13.5,13.5,0.0
161,ART0000018,5.15,5.15,0.0
162,ART0001669,4.0,4.0,0.0
163,ART0001276,0.36,0.36,0.0
164,ART0001606,7.14,7.15,-0.010000000000000675
165,ART0002123,0.12,0.18,-0.06
166,ART0003263,0.02,0.08,-0.06
167,ART0001609,1.25,1.31,-0.06000000000000005
168,ART0001587,0.6900000000000001,0.8,-0.10999999999999999
169,ART0004737,8.0,8.13,-0.13000000000000078
170,ART0000644,295.49,295.64,-0.14999999999997726
171,ART0002628,2.59,2.75,-0.16000000000000014
172,ART0004726,0.95,1.13,-0.17999999999999994
173,ART0003275,0.88,1.06,-0.18000000000000005
174,ART0004385,221.6,221.85,-0.25
175,ART0004944,1.0,1.3,-0.30000000000000004
176,ART0003105,0.65,1.01,-0.36
177,ART0002109,0.13,0.5,-0.37
178,ART0001740,9.38,9.84,-0.4599999999999991
179,ART0002614,10.89,11.43,-0.5399999999999991
180,ART0001535,1.96,2.52,-0.56
181,ART0001890,9.57,10.13,-0.5600000000000005
182,ART0004724,3.11,3.72,-0.6100000000000003
183,ART0002617,3.8,4.5,-0.7000000000000002
184,ART0003982,1.0,1.72,-0.72
185,ART0003132,1.05,1.7799999999999998,-0.7299999999999998
186,ART0001612,0.02,0.76,-0.74
187,ART0000765,232.35,233.09,-0.7400000000000091
188,ART0004727,3.8,4.55,-0.75
189,ART0001605,1.72,2.49,-0.7700000000000002
190,ART0003844,5.65,6.45,-0.7999999999999998
191,ART0001264,0.82,1.62,-0.8000000000000002
192,ART0004901,3.44,4.29,-0.8500000000000001
193,ART0003989,1.43,2.3,-0.8699999999999999
194,ART0003268,0.96,2.1,-1.1400000000000001
195,ART0002079,1.87,3.05,-1.1799999999999997
196,ART0001261,0.52,1.77,-1.25
197,ART0002112,0.73,2.04,-1.31
198,ART0002015,10.850000000000001,12.2,-1.3499999999999979
199,ART0005091,3.03,4.42,-1.3900000000000001
200,ART0004718,0.36,1.76,-1.4
201,ART0001429,7.35,8.83,-1.4800000000000004
202,ART0002210,2.54,4.03,-1.4900000000000002
203,ART0001441,23.33,24.89,-1.5600000000000023
204,ART0002140,22.0,23.67,-1.6700000000000017
205,ART0001427,0.14,1.82,-1.6800000000000002
206,ART0001566,1.22,2.92,-1.7
207,ART0000890,2.16,3.92,-1.7599999999999998
208,ART0001164,44.36,46.129999999999995,-1.769999999999996
209,ART0002551,21.950000000000003,23.75,-1.7999999999999972
210,ART0004671,24.83,26.73,-1.9000000000000021
211,ART0002581,31.0,33.0,-2.0
212,ART0001610,0.95,3.07,-2.12
213,ART0004149,5.38,7.6,-2.2199999999999998
214,ART0001188,1.17,3.43,-2.2600000000000002
215,ART0002139,21.39,23.67,-2.280000000000001
216,ART0002172,2.21,4.59,-2.38
217,ART0002416,0.42,2.86,-2.44
218,ART0004660,44.35,46.87,-2.519999999999996
219,ART0002423,0.89,3.62,-2.73
220,ART0001874,16.51,19.59,-3.0799999999999983
221,ART0000697,4.41,7.57,-3.16
222,ART0002271,22.59,25.770000000000003,-3.1800000000000033
223,ART0002028,24.0,27.2,-3.1999999999999993
224,ART0001653,18.58,21.830000000000002,-3.2500000000000036
225,ART0003195,2.32,5.67,-3.35
226,ART0002027,7.89,11.36,-3.4699999999999998
227,ART0001636,4.05,7.55,-3.5
228,ART0000128,66.0,69.6,-3.5999999999999943
229,ART0001900,3.91,7.55,-3.6399999999999997
230,ART0004375,17.84,21.81,-3.969999999999999
231,ART0001947,22.56,26.57,-4.010000000000002
232,ART0002753,9.3,13.64,-4.34
233,ART0001263,0.9099999999999999,5.7,-4.79
234,ART0002498,8.0,13.0,-5.0
235,ART0002517,0.89,6.15,-5.260000000000001
236,ART0001837,120.25,125.61,-5.359999999999999
237,ART0002494,56.0,61.5,-5.5
238,ART0002411,33.05,38.61,-5.560000000000002
239,ART0000639,34.44,40.29,-5.850000000000001
240,ART0002963,27.38,33.35,-5.970000000000002
241,ART0003167,0.67,6.680000000000001,-6.010000000000001
242,ART0002554,6.890000000000001,12.92,-6.029999999999999
243,ART0003824,16.27,22.310000000000002,-6.040000000000003
244,ART0002586,11.02,17.2,-6.18
245,ART0000690,11.22,17.45,-6.229999999999999
246,ART0002962,30.42,36.68,-6.259999999999998
247,ART0002961,30.42,36.68,-6.259999999999998
248,ART0001993,14.0,20.34,-6.34
249,ART0004946,15.81,22.2,-6.389999999999999
250,ART0001590,9.0,15.41,-6.41
251,ART0004885,36.73,43.199999999999996,-6.469999999999999
252,ART0002228,5.029999999999999,11.66,-6.630000000000001
253,ART0001637,17.9,24.560000000000002,-6.660000000000004
254,ART0001767,33.4,40.21,-6.810000000000002
255,ART0002273,4.96,12.07,-7.11
256,ART0001789,31.17,38.31,-7.140000000000001
257,ART0004675,3.22,10.98,-7.76
258,ART0005109,6.97,14.74,-7.7700000000000005
259,ART0004947,5.24,13.1,-7.859999999999999
260,ART0002508,5.07,13.0,-7.93
261,ART0002488,22.0,30.0,-8.0
262,ART0002882,8.14,16.28,-8.14
263,ART0002240,7.8,15.95,-8.149999999999999
264,ART0004904,11.17,19.33,-8.159999999999998
265,ART0000888,20.94,29.169999999999998,-8.229999999999997
266,ART0001981,7.39,15.81,-8.420000000000002
267,ART0001615,34.72,43.489999999999995,-8.769999999999996
268,ART0001095,1.62,10.39,-8.77
269,ART0001778,23.82,32.62,-8.799999999999997
270,ART0005034,3.63,12.5,-8.870000000000001
271,ART0002959,15.35,24.36,-9.01
272,ART0002958,8.07,17.22,-9.149999999999999
273,ART0000887,55.44,64.95,-9.510000000000005
274,ART0002556,6.61,16.25,-9.64
275,ART0001202,77.23,87.14,-9.909999999999997
276,ART0003101,4.21,14.26,-10.05
277,ART0001762,12.27,22.75,-10.48
278,ART0002262,8.51,19.22,-10.709999999999999
279,ART0000555,1.33,12.17,-10.84
280,ART0000880,12.94,23.97,-11.03
281,ART0003202,44.8,56.0,-11.200000000000003
282,ART0001923,255.94,267.26,-11.319999999999993
283,ART0001939,11.29,22.71,-11.420000000000002
284,ART0002969,11.72,23.21,-11.49
285,ART0002263,6.78,18.32,-11.54
286,ART0004362,3.9,15.94,-12.04
287,ART0001575,2.16,14.780000000000001,-12.620000000000001
288,ART0001534,12.0,24.88,-12.879999999999999
289,ART0002555,8.22,21.2,-12.979999999999999
290,ART0003164,22.3,35.36,-13.059999999999999
291,ART0002476,12.6,25.7,-13.1
292,ART0000320,47.769999999999996,61.06,-13.290000000000006
293,ART0001215,42.27,55.79,-13.519999999999996
294,ART0000881,48.28,62.050000000000004,-13.770000000000003
295,ART0003642,14.78,29.04,-14.26
296,ART0002755,23.02,38.3,-15.279999999999998
297,ART0002267,12.48,27.869999999999997,-15.389999999999997
298,ART0001266,72.0,87.75,-15.75
299,ART0001891,9.01,24.79,-15.78
300,ART0003189,109.2,125.0,-15.799999999999997
301,ART0001872,62.33,78.25,-15.920000000000002
302,ART0002142,13.68,29.82,-16.14
303,ART0002968,15.62,31.94,-16.32
304,ART0002598,8.06,24.56,-16.5
305,ART0000893,33.11,49.93,-16.82
306,ART0001102,18.21,35.24,-17.03
307,ART0000119,16.51,33.88,-17.37
308,ART0001731,90.0,107.4,-17.400000000000006
309,ART0001935,18.62,36.16,-17.539999999999996
310,ART0004697,6.13,23.71,-17.580000000000002
311,ART0001170,40.29,58.04,-17.75
312,ART0002195,3.2,21.3,-18.1
313,ART0002615,5.34,23.76,-18.42
314,ART0001104,19.62,38.31,-18.69
315,ART0001149,33.05,52.45,-19.400000000000006
316,ART0002012,46.54,66.0,-19.46
317,ART0003269,4.97,24.46,-19.490000000000002
318,ART0002552,2.74,22.45,-19.71
319,ART0001409,5.47,25.23,-19.76
320,ART0001180,4.21,24.15,-19.939999999999998
321,ART0000456,7.84,27.78,-19.94
322,ART0003940,954.8800000000001,975.18,-20.29999999999984
323,ART0002444,31.520000000000003,52.17,-20.65
324,ART0002511,2.69,24.45,-21.759999999999998
325,ART0001733,123.0,144.89,-21.889999999999986
326,ART0000889,6.8,28.83,-22.029999999999998
327,ART0001825,6.6,28.97,-22.369999999999997
328,ART0002144,7.59,30.0,-22.41
329,ART0002132,7.59,30.0,-22.41
330,ART0002048,5.76,28.9,-23.14
331,ART0002896,51.76,75.52,-23.759999999999998
332,ART0002706,56.0,80.0,-24.0
333,ART0001500,9.57,34.08,-24.509999999999998
334,ART0000885,39.34,63.91,-24.569999999999993
335,ART0000131,26.22,51.0,-24.78
336,ART0001272,143.3,168.16,-24.859999999999985
337,ART0002531,17.84,42.81,-24.970000000000002
338,ART0002895,51.76,77.64,-25.880000000000003
339,ART0002041,65.4,91.69999999999999,-26.299999999999983
340,ART0002989,38.02,65.03,-27.009999999999998
341,ART0002919,95.59,122.78,-27.189999999999998
342,ART0004202,2.7,30.17,-27.470000000000002
343,ART0002707,41.0,70.0,-29.0
344,ART0002909,44.92,75.24,-30.319999999999993
345,ART0005035,13.61,45.0,-31.39
346,ART0001773,38.05,69.47,-31.42
347,ART0001877,135.38,166.93,-31.55000000000001
348,ART0002173,13.02,44.68,-31.66
349,ART0003580,82.55,114.81,-32.260000000000005
350,ART0004386,26.98,61.21,-34.230000000000004
351,ART0001829,30.1,64.5,-34.4
352,ART0002456,69.54,104.31,-34.769999999999996
353,ART0001252,41.69,77.41,-35.72
354,ART0002042,56.64,92.42999999999999,-35.78999999999999
355,ART0003197,36.0,72.0,-36.0
356,ART0001228,1.12,37.67,-36.550000000000004
357,ART0001779,22.4,59.44,-37.04
358,ART0002866,230.07,267.6,-37.53000000000003
359,ART0001945,29.92,67.51,-37.59
360,ART0002739,8.04,45.97,-37.93
361,ART0002918,98.03,137.95000000000002,-39.920000000000016
362,ART0000635,60.0,100.0,-40.0
363,ART0004357,138.01,178.5,-40.49000000000001
364,ART0001885,38.33,79.49999999999999,-41.16999999999999
365,ART0002502,21.27,65.12,-43.85000000000001
366,ART0002580,21.0,66.0,-45.0
367,ART0001889,73.94,119.24,-45.3
368,ART0004015,52.29,99.29,-47.00000000000001
369,ART0000643,219.3,266.6,-47.30000000000001
370,ART0005111,16.0,64.0,-48.0
371,ART0004941,55.68,105.13,-49.449999999999996
372,ART0004410,36.54,86.85,-50.309999999999995
373,ART0002451,16.06,66.92,-50.86
374,ART0004919,31.439999999999998,82.69999999999999,-51.25999999999999
375,ART0004942,17.48,69.18,-51.7
376,ART0002619,7.7,60.0,-52.3
377,ART0002990,25.41,78.62,-53.21000000000001
378,ART0002238,0.96,54.3,-53.339999999999996
379,ART0002860,161.0,215.32999999999998,-54.329999999999984
380,ART0002859,161.0,215.32999999999998,-54.329999999999984
381,ART0001951,50.49,107.07,-56.57999999999999
382,ART0002988,58.35,116.72,-58.37
383,ART0002867,80.4,138.87,-58.47
384,ART0000324,25.68,85.0,-59.32
385,ART0001214,30.68,90.89,-60.21
386,ART0001950,34.43,94.97,-60.54
387,ART0002141,13.46,74.53999999999999,-61.07999999999999
388,ART0000642,62.5,125.0,-62.5
389,ART0001813,92.05,155.79000000000002,-63.74000000000002
390,ART0001772,132.11,196.7,-64.58999999999997
391,ART0001113,4.29,69.5,-65.21
392,ART0000878,135.16,200.72,-65.56
393,ART0001817,141.01,207.95,-66.94
394,ART0002504,117.0,184.5,-67.5
395,ART0001946,59.03,127.63,-68.6
396,ART0001765,678.2099999999999,747.99,-69.78000000000009
397,ART0004924,94.31,165.4,-71.09
398,ART0004392,294.0,367.5,-73.5
399,ART0000877,135.14,209.01,-73.87
400,ART0000879,124.31,200.63,-76.32
401,ART0005112,26.0,104.0,-78.0
402,ART0001493,35.14,118.94,-83.8
403,ART0001739,40.28,128.18,-87.9
404,ART0003984,0.58,89.42,-88.84
405,ART0001265,328.0,420.25,-92.25
406,ART0001520,3.91,105.74000000000001,-101.83000000000001
407,ART0002513,94.68,198.0,-103.32
408,ART0001110,12.0,117.0,-105.0
409,ART0001743,167.2,273.40999999999997,-106.20999999999998
410,ART0002490,16.32,125.0,-108.68
411,ART0005036,68.38,180.0,-111.62
412,ART0000758,2899.5400000000004,3011.53,-111.98999999999978
413,ART0001775,575.52,688.3100000000001,-112.79000000000008
414,ART0001841,88.09,205.57,-117.47999999999999
415,ART0005037,50.3,168.0,-117.7
416,ART0004152,14.2,133.0,-118.8
417,ART0001174,78.48,198.26,-119.77999999999999
418,ART0001046,8.370000000000001,133.01,-124.63999999999999
419,ART0001514,46.25,174.2,-127.94999999999999
420,ART0000641,60.0,192.0,-132.0
421,ART0001940,416.58000000000004,548.9399999999999,-132.3599999999999
422,ART0001908,252.01999999999998,385.08000000000004,-133.06000000000006
423,ART0004711,44.66,179.18,-134.52
424,ART0001117,1271.74,1409.08,-137.33999999999992
425,ART0000628,320.19,460.43,-140.24
426,ART0003935,187.81,335.74,-147.93
427,ART0001745,149.18,298.42,-149.24
428,ART0005029,59.71,211.12,-151.41
429,ART0001840,52.14,208.24,-156.10000000000002
430,ART0001783,73.74000000000001,230.01,-156.26999999999998
431,ART0001788,140.0,298.75,-158.75
432,ART0001777,14.38,176.63,-162.25
433,ART0000308,144.9,307.5,-162.6
434,ART0002455,216.01,379.55,-163.54000000000002
435,ART0001873,151.51,324.2,-172.69
436,ART0000843,925.2099999999999,1098.7799999999997,-173.56999999999982
437,ART0000116,142.0,335.0,-193.0
438,ART0001882,28.98,225.33999999999997,-196.35999999999999
439,ART0001895,47.4,252.35,-204.95
440,ART0004084,702.0499999999998,907.28,-205.23000000000013
441,ART0001886,228.42,454.96000000000004,-226.54000000000005
442,ART0005110,74.0,304.0,-230.0
443,ART0002740,325.67,560.68,-235.00999999999993
444,ART0001185,46.78,291.65,-244.86999999999998
445,ART0004169,96.17,343.93,-247.76
446,ART0001047,40.92,292.23,-251.31
447,ART0002530,148.8,405.6,-256.8
448,ART0000325,57.05,336.23,-279.18
449,ART0004104,1651.2300000000005,1931.15,-279.9199999999996
450,ART0000227,25.83,324.26,-298.43
451,ART0001786,225.77,555.46,-329.69000000000005
452,ART0001099,255.53,591.3,-335.77
453,ART0003613,32.38,371.87,-339.49
454,ART0002897,131.25,509.0,-377.75
455,ART0001018,412.02,792.75,-380.73
456,ART0000228,62.4,448.91,-386.51000000000005
457,ART0000790,514.97,905.9200000000001,-390.95000000000005
458,ART0000805,695.9000000000001,1091.79,-395.8899999999999
459,ART0001898,383.05000000000007,797.8199999999999,-414.76999999999987
460,ART0002712,16.68,432.13,-415.45
461,ART0003612,59.23,487.04,-427.81
462,ART0000229,7.9,453.42,-445.52000000000004
463,ART0000129,195.0,645.0,-450.0
464,ART0000796,506.83000000000004,962.93,-456.0999999999999
465,ART0000323,45.64,506.2,-460.56
466,ART0001866,3456.79,3919.7099999999996,-462.9199999999996
467,ART0001830,215.45999999999998,698.6899999999999,-483.22999999999996
468,ART0001921,312.08,804.81,-492.72999999999996
469,ART0004099,976.66,1507.79,-531.13
470,ART0000226,40.31,589.4200000000001,-549.1100000000001
471,ART0002793,860.0,1435.8,-575.8
472,ART0000825,1670.71,2270.0899999999997,-599.3799999999997
473,ART0000797,370.57,1038.69,-668.1200000000001
474,ART0001811,471.96,1162.34,-690.3799999999999
475,ART0001794,337.85,1028.38,-690.5300000000001
476,ART0002360,68.53,764.2499999999998,-695.7199999999998
477,ART0001917,931.4000000000001,1648.32,-716.9199999999998
478,ART0001799,199.17,1014.4200000000001,-815.2500000000001
479,ART0001770,148.05,1004.0399999999998,-855.9899999999998
480,ART0001759,945.5100000000001,1834.1299999999997,-888.6199999999995
481,ART0004374,1039.38,2151.3,-1111.92
482,ART0004889,40.0,1176.63,-1136.63
483,ART0000779,398.31999999999994,1658.9899999999998,-1260.6699999999998
484,ART0000850,1128.6599999999999,2592.6,-1463.94
485,ART0001868,627.64,2183.91,-1556.27
486,ART0001807,1888.65,3623.17,-1734.52
487,ART0000784,3040.26,4878.849999999999,-1838.5899999999992
488,ART0000778,570.9199999999998,2554.4199999999996,-1983.4999999999998
489,ART0004373,1428.0,3578.4,-2150.4
490,ART0000849,322.6500000000001,3016.22,-2693.5699999999997
491,ART0004397,2471.47,5261.049999999999,-2789.5799999999995
492,ART0005136,136.54,3081.8399999999997,-2945.2999999999997
493,ART0000830,1090.9599999999998,4433.62,-3342.66
494,ART0000848,10826.09,14523.070000000002,-3696.9800000000014
495,ART0000782,3748.9999999999995,7508.309999999997,-3759.309999999997
496,ART0000783,4216.21,8304.470000000003,-4088.260000000003
497,ART0000851,2749.55,7053.52,-4303.97
498,ART0000795,20651.329999999994,25993.929999999997,-5342.600000000002
499,ART0000752,6489.7699999999995,12505.880000000005,-6016.110000000005
500,ART0000811,3343.14,10540.89,-7197.75
501,ART0000853,11467.17,18994.859999999993,-7527.689999999993
502,ART0000847,706.6800000000001,15023.61,-14316.93
503,ART0000748,11130.57,29344.12,-18213.55
