,Risorsa,Area di produzione,Costo orario (â‚¬/h)
0,RIS1,A10,60
1,RIS1,A11,60
2,RIS1,A20,80
3,RIS1,A30,80
4,RIS1,A32,60
5,RIS1,A33,60
6,RIS1,A40,60
7,RIS10,A30,60
8,RIS11,A10,50
9,RIS11,A20,60
10,RIS11,A30,60
11,RIS11,A40,50
12,RIS12,A10,60
13,RIS12,A11,60
14,RIS12,A12,50
15,RIS12,A20,80
16,RIS12,A30,80
17,RIS12,A32,60
18,RIS12,A35,50
19,RIS12,A40,50
20,RIS13,A10,50
21,RIS13,A11,50
22,RIS13,A20,80
23,RIS13,A30,80
24,RIS13,A32,50
25,RIS13,A33,50
26,RIS13,A34,50
27,RIS13,A35,50
28,RIS13,A36,50
29,RIS13,A40,50
30,RIS14,A10,50
31,RIS14,A11,50
32,RIS14,A20,60
33,RIS14,A30,50
34,RIS14,A32,60
35,RIS14,A33,60
36,RIS14,A34,60
37,RIS14,A40,60
38,RIS16,CQ,15
39,RIS18,A05,60
40,RIS18,A10,60
41,RIS18,A30,60
42,RIS2,A10,60
43,RIS2,A11,60
44,RIS2,A20,80
45,RIS2,A30,60
46,RIS2,A33,50
47,RIS2,A40,50
48,RIS3,A10,50
49,RIS3,A11,50
50,RIS3,A12,50
51,RIS3,A30,50
52,RIS3,A40,50
53,RIS4,A10,50
54,RIS4,A20,60
55,RIS4,A30,60
56,RIS4,A33,50
57,RIS4,A40,50
58,RIS4,A41,50
59,RIS5,A20,60
60,RIS5,A30,50
61,RIS6,A20,60
62,RIS6,A30,50
63,RIS7,A20,80
64,RIS7,A30,60
65,RIS9,A11,50
66,RIS9,A20,80
67,RIS9,A30,50
68,RIS9,A32,50
69,RIS9,A40,50
